player,n_early,n_late,obs_mwp_early,sim_mwp_early,clutch_early,obs_mwp_late,sim_mwp_late,clutch_late
Agnes Szavay,78,79,58.97435897435898,56.57692307692307,2.397435897435905,58.22784810126582,56.79746835443038,1.4303797468354418
Agnieszka Radwanska,327,327,69.1131498470948,67.10550458715596,2.0076452599388404,67.2782874617737,67.00917431192661,0.2691131498470867
Ai Sugiyama,83,83,55.42168674698795,52.90963855421687,2.5120481927710827,42.168674698795186,44.97590361445783,-2.807228915662641
Ajla Tomljanovic,193,193,45.59585492227979,46.58549222797929,-0.989637305699496,46.63212435233161,46.77979274611398,-0.14766839378237506
Akgul Amanmuradova,65,65,40.0,40.03076923076923,-0.03076923076923066,30.76923076923077,34.23076923076923,-3.4615384615384635
Alberta Brianti,62,63,30.64516129032258,34.25,-3.60483870967742,39.682539682539684,39.904761904761905,-0.22222222222222143
Aleksandra Krunic,101,101,42.57425742574257,45.4009900990099,-2.8267326732673297,41.584158415841586,42.24257425742575,-0.6584158415841657
Aleksandra Wozniak,97,98,46.391752577319586,45.75257731958763,0.6391752577319565,39.795918367346935,43.36224489795918,-3.566326530612244
Alexandra Dulgheru,80,80,53.75,51.20625,2.543750000000003,41.25,40.5625,0.6875
Aliaksandra Sasnovich,164,165,48.78048780487805,46.8109756097561,1.9695121951219505,46.666666666666664,45.41515151515152,1.251515151515143
Alisa Kleybanova,92,92,52.17391304347826,52.97826086956522,-0.8043478260869605,55.434782608695656,52.8641304347826,2.5706521739130537
Alison Riske Amritraj,182,183,46.7032967032967,49.36538461538461,-2.6620879120879124,46.994535519125684,49.049180327868854,-2.05464480874317
Alison Van Uytvanck,127,128,42.51968503937008,45.968503937007874,-3.4488188976377927,46.875,48.8515625,-1.9765625
Alize Cornet,334,335,51.19760479041916,52.26946107784432,-1.071856287425156,49.25373134328358,51.267164179104476,-2.0134328358208933
Alla Kudryavtseva,88,89,37.5,41.71022727272728,-4.2102272727272805,39.325842696629216,38.022471910112365,1.303370786516851
Alona Bondarenko,115,115,54.78260869565217,48.86521739130435,5.917391304347824,51.30434782608696,51.1,0.20434782608695912
Alycia Parks,58,59,36.206896551724135,35.568965517241374,0.6379310344827616,40.67796610169492,42.0593220338983,-1.3813559322033768
Amanda Anisimova,127,127,59.84251968503938,61.09055118110236,-1.2480314960629855,66.92913385826772,61.88976377952756,5.039370078740156
Amelie Mauresmo,110,110,79.0909090909091,74.27727272727272,4.813636363636377,62.727272727272734,61.93636363636364,0.7909090909090963
Ana Bogdan,94,94,40.42553191489361,44.11170212765958,-3.6861702127659726,45.744680851063826,51.16489361702128,-5.4202127659574515
Ana Ivanovic,253,253,66.79841897233202,65.6106719367589,1.1877470355731106,65.21739130434783,66.51581027667984,-1.2984189723320156
