player,n_early,n_late,obs_mwp_early,sim_mwp_early,clutch_early,obs_mwp_late,sim_mwp_late,clutch_late
Aaron Krickstein,112,112,63.39285714285714,61.20535714285714,2.1875,48.214285714285715,47.566964285714285,0.6473214285714306
Adrian Mannarino,337,338,45.103857566765576,45.17507418397626,-0.07121661721068051,46.74556213017752,47.55621301775149,-0.8106508875739706
Adrian Voinea,139,140,46.043165467625904,46.84892086330935,-0.8057553956834482,40.0,39.707142857142856,0.2928571428571445
Agustin Calleri,183,183,55.73770491803278,58.60655737704918,-2.868852459016395,51.36612021857923,55.199453551912576,-3.833333333333343
Albert Costa,305,306,62.295081967213115,61.76721311475409,0.5278688524590223,54.248366013071895,52.571895424836605,1.67647058823529
Albert Montanes,257,258,42.4124513618677,43.34630350194553,-0.9338521400778248,50.3875968992248,48.366279069767444,2.0213178294573595
Albert Portas,166,167,44.57831325301205,44.66265060240963,-0.08433734939757898,38.32335329341318,41.19161676646707,-2.8682634730538936
Albert Ramos,301,302,45.84717607973422,47.340531561461795,-1.4933554817275763,44.03973509933775,44.773178807947026,-0.7334437086092791
Alberto Berasategui,226,227,61.504424778761056,59.17035398230089,2.3340707964601677,56.38766519823789,54.447136563876654,1.940528634361236
Alberto Mancini,60,61,60.0,53.26666666666666,6.733333333333341,40.98360655737705,44.48360655737705,-3.5
Alberto Martin,233,233,48.06866952789699,47.68884120171674,0.3798283261802524,40.772532188841204,42.13090128755364,-1.358369098712437
Alejandro Davidovich Fokina,152,152,49.34210526315789,49.25986842105263,0.08223684210526017,56.57894736842105,56.35197368421053,0.22697368421052033
Alejandro Falla,122,123,36.0655737704918,38.72540983606557,-2.6598360655737707,38.21138211382114,39.80081300813008,-1.58943089430894
Alejandro Tabilo,81,81,53.086419753086425,52.97530864197532,0.11111111111110716,46.913580246913575,48.90123456790123,-1.9876543209876516
Aleksandar Kovacevic,50,51,34.0,34.91,-0.9099999999999966,37.254901960784316,43.10784313725491,-5.852941176470594
Aleksandar Vukic,71,71,38.028169014084504,40.04929577464789,-2.0211267605633836,42.25352112676056,39.316901408450704,2.9366197183098564
Alex Antonitsch,58,59,43.103448275862064,44.29310344827587,-1.1896551724138078,37.28813559322034,38.18644067796609,-0.8983050847457505
Alex Bogomolov Jr,84,84,40.476190476190474,40.74404761904761,-0.2678571428571388,40.476190476190474,41.785714285714285,-1.3095238095238102
Alex Calatrava,81,82,43.20987654320987,43.29012345679013,-0.08024691358025393,34.146341463414636,39.12804878048781,-4.981707317073173
Alex Corretja,338,339,60.650887573964496,60.20118343195267,0.44970414201182507,60.766961651917406,58.79498525073746,1.971976401179944
Alex De Minaur,242,242,57.438016528925615,57.51446280991735,-0.0764462809917319,66.94214876033058,66.52685950413223,0.4152892561983492
Alex Michelsen,75,75,49.333333333333336,52.42,-3.086666666666666,52.0,49.36,2.6400000000000006
Alex Obrien,109,110,35.77981651376147,38.28899082568808,-2.509174311926614,44.54545454545455,47.26363636363637,-2.718181818181826
Alexander Bublik,180,181,52.77777777777778,46.177777777777784,6.599999999999994,55.24861878453039,51.284530386740336,3.964088397790057
Alexander Mronz,56,56,39.285714285714285,43.526785714285715,-4.241071428571431,35.714285714285715,36.17857142857143,-0.4642857142857153
Alexander Popp,54,55,42.592592592592595,45.00925925925927,-2.4166666666666714,40.0,38.39090909090909,1.6090909090909093
Alexander Shevchenko,62,63,45.16129032258064,40.38709677419355,4.774193548387089,41.269841269841265,36.73809523809524,4.5317460317460245
