tour,n,corr_clutch_pw,p_corr,beta_raw,r2_raw,beta_style_controlled,ci_low,ci_high,p_style_controlled,r2_controlled,pct_slope_from_style,controls
ATP,517,0.37926824371652107,3.9294855147832574e-19,0.39385684489620765,0.15986432724290212,0.31519236863023375,0.23485437749080215,0.39553035976966533,6.705747068735946e-14,0.23029395632099403,19.972860008743577,spw+rpw+bo5
WTA,270,0.378132352750694,1.3218275111040746e-10,0.2213073630931853,0.046463385137641144,0.0752375120655685,-0.04795413482434438,0.19842915895548138,0.23024275144787643,0.17116105178860574,66.00315912946446,spw+rpw
